abandon,abandoned|abandoned|abandoning|abandons
accept,accepted|accepted|accepting|accepts
accuse,accused|accused|accusing|accuses
act,acted|acted|acting|acts
admire,admired|admired|admiring|admires
admit,admitted|admitted|admitting|admits
advise,advised|advised|advising|advises
affect,affected|affected|affecting|affects
agree,agreed|agreed|agreeing|agrees
allow,allowed|allowed|allowing|allows
amaze,amazed|amazed|amazing|amazes
announce,announced|announced|announcing|announces
annoy,annoyed|annoyed|annoying|annoys
anoint,anointed|anointed|anointing|anoints
answer,answered|answered|answering|answers
appear,appeared|appeared|appearing|appears
appoint,appointed|appointed|appointing|appoints
approve,approved|approved|approving|approves
argue,argued|argued|arguing|argues
arrest,arrested|arrested|arresting|arrests
arrive,arrived|arrived|arriving|arrives
ask,asked|asked|asking|asks
assist,assisted|assisted|assisting|assists
attach,attached|attached|attaching|attaches
attack,attacked|attacked|attacking|attacks
attend,attended|attended|attending|attends
avoid,avoided|avoided|avoiding|avoids
bake,baked|baked|baking|bakes
baptize,baptized|baptized|baptizing|baptizes
bark,barked|barked|barking|barks
be,was|been|being|is
be born,was|been|being|is
be concerned,bed|bed|bing|bes
be determined,was|been|being|is
be fulfilled,bed|bed|bing|bes
be locked,bed|bed|bing|bes
be married,was|been|being|is
be tied,was|been|being|is
be worried,was|been|being|is
be hurt,bed|bed|bing|bes
beat,beat|beaten|beating|beats
become,became|become|becoming|becomes
beg,begged|begged|begging|begs
begin,began|began|beginning|begins
behave,behaved|behaved|behaving|behaves
behold,beheld|beheld|beholding|beholds
believe,believed|believed|believing|believes
belong,belonged|belonged|belonging|belongs
bend,bent|bent|bending|bends
bend over,bent|bent|bending|bends
betray,betrayed|betrayed|betraying|betrays
birth,birthed|birthed|birthing|births
bite,bit|bitten|biting|bites
blame,blamed|blamed|blaming|blames
blaspheme,blasphemed|blasphemed|blaspheming|blasphemes
bleed,bled|bled|bleeding|bleeds
bleet,bleeted|bleeted|bleeting|bleets
bless,blessed|blessed|blessing|blesses
blow,blew|blown|blowing|blows
board,boarded|boarded|boarding|boards
boast,boasted|boasted|boasting|boasts
boil,boiled|boiled|boiling|boils
borrow,borrowed|borrowed|borrowing|borrows
bother,bothered|bothered|bothering|bothers
bow,bowed|bowed|bowing|bows
break,broke|broken|breaking|breaks
breathe,breathed|breathed|breathing|breathes
bring,brought|brought|bringing|brings
build,built|built|building|builds
burn,burned|burned|burning|burns
burst,burst|burst|bursting|bursts
bury,buried|buried|burying|buries
buy,bought|bought|buying|buys
calculate,calculated|calculated|calculating|calculates
call,called|called|calling|calls
camp,camped|camped|camping|camps
cancel,cancelled|cancelled|cancelling|cancels
capture,captured|captured|capturing|captures
care,cared|cared|caring|cares
carry,carried|carried|carrying|carries
carve,carved|carved|carving|carves
cast,cast|cast|casting|casts
catch,caught|caught|catching|catches
catch up,caught|caught|catching|catches
cause,caused|caused|causing|causes
celebrate,celebrated|celebrated|celebrating|celebrates
change,changed|changed|changing|changes
chase,chased|chased|chasing|chases
chase away,chased|chased|chasing|chases
cheat,cheated|cheated|cheating|cheats
check,checked|checked|checking|checks
chew,chewed|chewed|chewing|chews
choose,chose|chosen|choosing|chooses
circumcise,circumcised|circumcised|circumcising|circumcises
clean,cleaned|cleaned|cleaning|cleans
climb,climbed|climbed|climbing|climbs
close,closed|closed|closing|closes
collect,collected|collected|collecting|collects
comb,combed|combed|combing|combs
combine,combined|combined|combining|combines
come up,came|come|coming|comes
come,came|come|coming|comes
come down,came|come|coming|comes
come out,came|come|coming|comes
comfort,comforted|comforted|comforting|comforts
command,commanded|commanded|commanding|commands
commit,committed|committed|committing|commits
compare,compared|compared|comparing|compares
complain,complained|complained|complaining|complains
condemn,condemned|condemned|condemning|condemns
confess,confessed|confessed|confessing|confesses
confuse,confused|confused|confusing|confuses
conquer,conquered|conquered|conquering|conquers
consecrate,consecrated|consecrated|consecrating|consecrates
consist,consisted|consisted|consisting|consists
contain,contained|contained|containing|contains
continue,continued|continued|continuing|continues
control,controlled|controlled|controlling|controls
cook,cooked|cooked|cooking|cooks
cough,coughed|coughed|coughing|coughs
count,counted|counted|counting|counts
cover,covered|covered|covering|covers
covet,coveted|coveted|coveting|covets
crawl,crawled|crawled|crawling|crawls
create,created|created|creating|creates
criticize,criticized|criticized|criticizing|criticizes
crow,crowed|crowed|crowing|crows
crowd,crowded|crowded|crowding|crowds
crucify,crucified|crucified|crucifying|crucifies
crush,crushed|crushed|crushing|crushes
cry,cried|cried|crying|cries
cry out,cried|cried|crying|cries
curse,cursed|cursed|cursing|curses
cut,cut|cut|cutting|cuts
cut down,cut|cut|cutting|cuts
cut off,cut|cut|cutting|cuts
damage,damaged|damaged|damaging|damages
dance,danced|danced|dancing|dances
deceive,deceived|deceived|deceiving|deceives
decide,decided|decided|deciding|decides
declare,declared|declared|declaring|declares
dedicate,dedicated|dedicated|dedicating|dedicates
defeat,defeated|defeated|defeating|defeats
defend,defended|defended|defending|defends
defile,defiled|defiled|defiling|defiles
deliver,delivered|delivered|delivering|delivers
demand,demanded|demanded|demanding|demands
describe,described|described|describing|describes
deserve,deserved|deserved|deserving|deserves
desire,desired|desired|desiring|desires
destroy,destroyed|destroyed|destroying|destroys
determine,determined|determined|determining|determines
devour,devoured|devoured|devouring|devours
die,died|died|dying|dies
dig,dug|dug|digging|digs
dip,dipped|dipped|dipping|dips
disagree,disagreed|disagreed|disagreeing|disagrees
discover,discovered|discovered|discovering|discovers
divide,divided|divided|dividing|divides
divorce,divorced|divorced|divorcing|divorces
do,did|done|doing|does
doubt,doubted|doubted|doubting|doubts
draw,drew|drawn|drawing|draws
dream,dreamed|dreamed|dreaming|dreams
dress,dressed|dressed|dressing|dresses
drink,drank|drunk|drinking|drinks
drop,dropped|dropped|dropping|drops
drown,drowned|drowned|drowning|drowns
dry,dried|dried|drying|dries
dwell,dwelled|dwelled|dwelling|dwells
dye,dyed|dyed|dying|dyes
earn,earned|earned|earning|earns
eat,ate|eaten|eating|eats
embalm,embalmed|embalmed|embalming|embalms
embarrass,embarrassed|embarrassed|embarrassing|embarrasses
employ,employed|employed|employing|employs
encourage,encouraged|encouraged|encouraging|encourages
end,ended|ended|ending|ends
enjoy,enjoyed|enjoyed|enjoying|enjoys
enter,entered|entered|entering|enters
erase,erased|erased|erasing|erases
escape,escaped|escaped|escaping|escapes
exalt,exalted|exalted|exalting|exalts
examine,examined|examined|examining|examines
exile,exiled|exiled|exiling|exiles
exist,existed|existed|existing|exists
expect,expected|expected|expecting|expects
explain,explained|explained|explaining|explains
explore,explored|explored|exploring|explores
fail,failed|failed|failing|fails
faint,fainted|fainted|fainting|faints
fall,fell|fallen|falling|falls
fast,fasted|fasted|fasting|fasts
fear,feared|feared|fearing|fears
feed,fed|fed|feeding|feeds
feel,felt|felt|feeling|feels
fight,fought|fought|fighting|fights
fill,filled|filled|filling|fills
find out,found|found|finding|finds
find,found|found|finding|finds
finish,finished|finished|finishing|finishes
float,floated|floated|floating|floats
flow,flowed|flowed|flowing|flows
fly,flew|flown|flying|flies
follow,followed|followed|following|follows
forbid,forbade|forbidden|forbidding|forbids
force,forced|forced|forcing|forces
forget,forgot|forgotten|forgetting|forgets
forgive,forgave|forgiven|forgiving|forgives
forsake,forsook|forsaken|forsaking|forsakes
free,freed|freed|freeing|frees
frighten,frightened|frightened|frightening|frightens
frown,frowned|frowned|frowning|frowns
fulfill,fulfilled|fulfilled|fulfilling|fulfills
gain,gained|gained|gaining|gains
gather,gathered|gathered|gathering|gathers
get,got|gotten|getting|gets
get off,got|gotten|getting|gets
get up,got|gotten|getting|gets
get on,got|gotten|getting|gets
give,gave|given|giving|gives
glean,gleaned|gleaned|gleaning|gleans
glorify,glorified|glorified|glorifying|glorifies
gnash,gnashed|gnashed|gnashing|gnashes
go,went|gone|going|goes
go down,went|gone|going|goes
go out,went|gone|going|goes
go up,went|gone|going|goes
gore,gored|gored|goring|gores
govern,governed|governed|governing|governs
grab,grabbed|grabbed|grabbing|grabs
greet,greeted|greeted|greeting|greets
grow,grew|grown|growing|grows
grow up,grew|grown|growing|grows
guard,guarded|guarded|guarding|guards
hamstring,hamstrung|hamstrung|hamstringing|hamstrings
hang,hung|hung|hanging|hangs
happen,happened|happened|happening|happens
harvest,harvested|harvested|harvesting|harvests
hate,hated|hated|hating|hates
have,had|had|having|has
heal,healed|healed|healing|heals
hear,heard|heard|hearing|hears
help,helped|helped|helping|helps
hide,hid|hidden|hiding|hides
hire,hired|hired|hiring|hires
hit,hit|hit|hitting|hits
hold,held|held|holding|holds
honor,honored|honored|honoring|honors
hope,hoped|hoped|hoping|hopes
hover,hovered|hovered|hovering|hovers
hug,hugged|hugged|hugging|hugs
hunt,hunted|hunted|hunting|hunts
hurt,hurt|hurt|hurting|hurts
ignore,ignored|ignored|ignoring|ignores
improve,improved|improved|improving|improves
include,included|included|including|includes
increase,increased|increased|increasing|increases
influence,influenced|influenced|influencing|influences
inherit,inherited|inherited|inheriting|inherits
insist,insisted|insisted|insisting|insists
inspect,inspected|inspected|inspecting|inspects
insult,insulted|insulted|insulting|insults
introduce,introduced|introduced|introducing|introduces
invade,invaded|invaded|invading|invades
invite,invited|invited|inviting|invites
join,joined|joined|joining|joins
judge,judged|judged|judging|judges
jump,jumped|jumped|jumping|jumps
jump down,jumped|jumped|jumping|jumps
keep,kept|kept|keeping|keeps
kidnap,kidnapped|kidnapped|kidnapping|kidnaps
kill,killed|killed|killing|kills
kiss,kissed|kissed|kissing|kisses
kneel,knelt|knelt|kneeling|kneels
knock,knocked|knocked|knocking|knocks
knock down,knocked|knocked|knocking|knocks
knock over,knocked|knocked|knocking|knocks
know,knew|known|knowing|knows
lack,lacked|lacked|lacking|lacks
laugh,laughed|laughed|laughing|laughs
lead,led|led|leading|leads
lean,leaned|leaned|leaning|leans
learn,learned|learned|learning|learns
leave,left|left|leaving|leaves
lend,lent|lent|lending|lends
let,let|let|letting|lets
lick,licked|licked|licking|licks
lie,lay|lain|lying|lies
lie down,lay|lain|lying|lies
lift,lifted|lifted|lifting|lifts
light,lit|lit|lighting|lights
like,liked|liked|liking|likes
limp,limped|limped|limping|limps
listen,listened|listened|listening|listens
live,lived|lived|living|lives
loan,loaned|loaned|loaning|loans
lock,locked|locked|locking|locks
long,longed|longed|longing|longs
look,looked|looked|looking|looks
look like,looked|looked|looking|looks
lose,lost|lost|losing|loses
love,loved|loved|loving|loves
low,lowed|lowed|lowing|lows
lower,lowered|lowered|lowering|lowers
make,made|made|making|makes
make up,made|made|making|makes
manage,managed|managed|managing|manages
march,marched|marched|marching|marches
mark,marked|marked|marking|marks
marry,married|married|marrying|marries
mate,mated|mated|mating|mates
mean,meant|meant|meaning|means
measure,measured|measured|measuring|measures
meditate,meditated|meditated|meditating|meditates
meet,met|met|meeting|meets
melt,melted|melted|melting|melts
menstruate,menstruated|menstruated|menstruating|menstruates
miss,missed|missed|missing|misses
mix,mixed|mixed|mixing|mixes
mock,mocked|mocked|mocking|mocks
molest,molested|molested|molesting|molests
mourn,mourned|mourned|mourning|mourns
move,moved|moved|moving|moves
move aside,moved|moved|moving|moves
multiply,multiplied|multiplied|multiplying|multiplies
murder,murdered|murdered|murdering|murders
name,named|named|naming|names
need,needed|needed|needing|needs
notice,noticed|noticed|noticing|notices
nurse,nursed|nursed|nursing|nurses
obey,obeyed|obeyed|obeying|obeys
obtain,obtained|obtained|obtaining|obtains
offend,offended|offended|offending|offends
offer,offered|offered|offering|offers
open,opened|opened|opening|opens
oppose,opposed|opposed|opposing|opposes
order,ordered|ordered|ordering|orders
overflow,overflowed|overflowed|overflowing|overflows
overlay,overlayed|overlayed|overlaying|overlays
oversee,oversaw|overseen|overseeing|oversees
owe,owed|owed|owing|owes
own,owned|owned|owning|owns
pass,passed|passed|passing|passes
pay,paid|paid|paying|pays
perform,performed|performed|performing|performs
persecute,persecuted|persecuted|persecuting|persecutes
persuade,persuaded|persuaded|persuading|persuades
pick up,picked|picked|picking|picks
pick,picked|picked|picking|picks
plan,planned|planned|planning|plans
plant,planted|planted|planting|plants
play,played|played|playing|plays
plead,pleaded|pleaded|pleading|pleads
please,pleased|pleased|pleasing|pleases
plot,plotted|plotted|plotting|plots
plow,plowed|plowed|plowing|plows
point,pointed|pointed|pointing|points
possess,possessed|possessed|possessing|possesses
pour,poured|poured|pouring|pours
pour out,poured|poured|pouring|pours
practice,practiced|practiced|practicing|practices
praise,praised|praised|praising|praises
pray,prayed|prayed|praying|prays
preach,preached|preached|preaching|preaches
predict,predicted|predicted|predicting|predicts
prepare,prepared|prepared|preparing|prepares
preserve,preserved|preserved|preserving|preserves
pretend,pretended|pretended|pretending|pretends
prevent,prevented|prevented|preventing|prevents
proclaim,proclaimed|proclaimed|proclaiming|proclaims
produce,produced|produced|producing|produces
prohesy,prohesied|prohesied|prohesying|prohesies
promise,promised|promised|promising|promises
protect,protected|protected|protecting|protects
prove,proved|proven|proving|proves
provide,provided|provided|providing|provides
pull,pulled|pulled|pulling|pulls
pull off,pulled|pulled|pulling|pulls
pull out,pulled|pulled|pulling|pulls
pull out of,pulled|pulled|pulling|pulls
punish,punished|punished|punishing|punishes
pursue,pursued|pursued|pursuing|pursues
push,pushed|pushed|pushing|pushes
push away,pushed|pushed|pushing|pushes
put,put|put|putting|puts
put down,put|put|putting|puts
put on,put|put|putting|puts
race,raced|raced|racing|races
raid,raided|raided|raiding|raids
rain,rained|rained|raining|rains
raise,raised|raised|raising|raises
rape,raped|raped|raping|rapes
reach,reached|reached|reaching|reaches
read,read|read|reading|reads
realize,realized|realized|realizing|realizes
rebel,rebelled|rebelled|rebelling|rebels
rebuke,rebuked|rebuked|rebuking|rebukes
recede,receded|receded|receding|recedes
receive,received|received|receiving|receives
recline,reclined|reclined|reclining|reclines
recognize,recognized|recognized|recognizing|recognizes
redeem,redeemed|redeemed|redeeming|redeems
refuse,refused|refused|refusing|refuses
regret,regretted|regretted|regretting|regrets
reign,reigned|reigned|reigning|reigns
reject,rejected|rejected|rejecting|rejects
rejoice,rejoiced|rejoiced|rejoicing|rejoices
release,released|released|releasing|releases
remember,remembered|remembered|remembering|remembers
remind,reminded|reminded|reminding|reminds
rent,rented|rented|renting|rents
repair,repaired|repaired|repairing|repairs
repeat,repeated|repeated|repeating|repeats
repent,repented|repented|repenting|repents
replace,replaced|replaced|replacing|replaces
represent,represented|represented|representing|represents
rescue,rescued|rescued|rescuing|rescues
respect,respected|respected|respecting|respects
rest,rested|rested|resting|rests
restore,restored|restored|restoring|restores
retreat,retreated|retreated|retreating|retreats
return,returned|returned|returning|returns
reveal,revealed|revealed|revealing|reveals
reward,rewarded|rewarded|rewarding|rewards
ride,rode|ridden|riding|rides
rise,rose|risen|rising|rises
roar,roared|roared|roaring|roars
roast,roasted|roasted|roasting|roasts
roll,rolled|rolled|rolling|rolls
roll up,rolled|rolled|rolling|rolls
row,rowed|rowed|rowing|rows
rub,rubbed|rubbed|rubbing|rubs
ruin,ruined|ruined|ruining|ruins
rule,ruled|ruled|ruling|rules
run out,ran|run|running|runs
run,ran|run|running|runs
run away,ran|run|running|runs
run down,ran|run|running|runs
sacrifice,sacrificed|sacrificed|sacrificing|sacrifices
satisfy,satisfied|satisfied|satisfying|satisfies
save,saved|saved|saving|saves
say,said|said|saying|says
scare,scared|scared|scaring|scares
scatter,scattered|scattered|scattering|scatters
scold,scolded|scolded|scolding|scolds
scout,scouted|scouted|scouting|scouts
scream,screamed|screamed|screaming|screams
seal,sealed|sealed|sealing|seals
search,searched|searched|searching|searches
see,saw|seen|seeing|sees
seem,seemed|seemed|seeming|seems
sell,sold|sold|selling|sells
send,sent|sent|sending|sends
separate,separated|separated|separating|separates
serve,served|served|serving|serves
set,set|set|setting|sets
set up,set|set|setting|sets
sew,sewed|sewn|sewing|sews
shake,shook|shaken|shaking|shakes
share,shared|shared|sharing|shares
shave,shaved|shaved|shaving|shaves
shear,sheared|sheared|shearing|shears
shine,shined|shined|shining|shines
shoot,shot|shot|shooting|shoots
shout,shouted|shouted|shouting|shouts
show,showed|shown|showing|shows
sigh,sighed|sighed|sighing|sighs
sign,signed|signed|signing|signs
sin,sinned|sinned|sinning|sins
sing,sang|sung|singing|sings
sink,sank|sunk|sinking|sinks
sit,sat|sat|sitting|sits
sit down,sat|sat|sitting|sits
sit up,sat|sat|sitting|sits
slaughter,slaughtered|slaughtered|slaughtering|slaughters
sleep,slept|slept|sleeping|sleeps
sling,slung|slung|slinging|slings
smell,smelled|smelled|smelling|smells
sneeze,sneezed|sneezed|sneezing|sneezes
snow,snowed|snowed|snowing|snows
sound like,sounded|sounded|sounding|sounds
speak,spoke|spoken|speaking|speaks
spend,spent|spent|spending|spends
spill,spilled|spilled|spilling|spills
spit,spit|spit|spitting|spits
spread,spread|spread|spreading|spreads
sprout,sprouted|sprouted|sprouting|sprouts
squeeze,squeezed|squeezed|squeezing|squeezes
stab,stabbed|stabbed|stabbing|stabs
stand,stood|stood|standing|stands
stand up,stood|stood|standing|stands
stare,stared|stared|staring|stares
start,started|started|starting|starts
starve,starved|starved|starving|starves
stay,stayed|stayed|staying|stays
stay away,stayed|stayed|staying|stays
steal,stole|stolen|stealing|steals
step,stepped|stepped|stepping|steps
step aside,stepped|stepped|stepping|steps
sting,stung|stung|stinging|stings
stone,stoned|stoned|stoning|stones
stop,stopped|stopped|stopping|stops
store,stored|stored|storing|stores
stretch,stretched|stretched|stretching|stretches
struggle,struggled|struggled|struggling|struggles
study,studied|studied|studying|studies
succeed,succeeded|succeeded|succeeding|succeeds
suffer,suffered|suffered|suffering|suffers
suggest,suggested|suggested|suggesting|suggests
support,supported|supported|supporting|supports
surprise,surprised|surprised|surprising|surprises
surrender,surrendered|surrendered|surrendering|surrenders
surround,surrounded|surrounded|surrounding|surrounds
swallow,swallowed|swallowed|swallowing|swallows
swear,swore|sworn|swearing|swears
sweat,sweated|sweated|sweating|sweats
sweep,swept|swept|sweeping|sweeps
swim,swam|swum|swimming|swims
take,took|taken|taking|takes
take away,took|taken|taking|takes
take care,took|taken|taking|takes
take off,took|taken|taking|takes
take out,took|taken|taking|takes
talk,talked|talked|talking|talks
taste,tasted|tasted|tasting|tastes
teach,taught|taught|teaching|teaches
tear,tore|torn|tearing|tears
tell,told|told|telling|tells
tempt,tempted|tempted|tempting|tempts
terrify,terrified|terrified|terrifying|terrifies
test,tested|tested|testing|tests
testify,testified|testified|testifying|testifies
thank,thanked|thanked|thanking|thanks
think,thought|thought|thinking|thinks
thresh,threshed|threshed|threshing|threshes
throw,threw|thrown|throwing|throws
throw away,threw|thrown|throwing|throws
tie,tied|tied|tying|ties
torture,tortured|tortured|torturing|tortures
touch,touched|touched|touching|touches
trade,traded|traded|trading|trades
trample,trampled|trampled|trampling|tramples
transform,transformed|transformed|transforming|transforms
travel,traveled|traveled|traveling|travels
treat,treated|treated|treating|treats
trick,tricked|tricked|tricking|tricks
trip,tripped|tripped|tripping|trips
trust,trusted|trusted|trusting|trusts
try,tried|tried|trying|tries
turn,turned|turned|turning|turns
turn around,turned|turned|turning|turns
turn away,turned|turned|turning|turns
understand,understood|understood|understanding|understands
unite,united|united|uniting|unites
unlock,unlocked|unlocked|unlocking|unlocks
untie,untied|untied|untying|unties
urge,urged|urged|urging|urges
urinate,urinated|urinated|urinating|urinates
use,used|used|using|uses
visit,visited|visited|visiting|visits
vomit,vomited|vomited|vomiting|vomits
wage,waged|waged|waging|wages
wait,waited|waited|waiting|waits
wake up,woke|woken|waking|wakes
walk,walked|walked|walking|walks
walk away,walked|walked|walking|walks
walk down,walked|walked|walking|walks
walk up,walked|walked|walking|walks
wander,wandered|wandered|wandering|wanders
want,wanted|wanted|wanting|wants
warn,warned|warned|warning|warns
wash,washed|washed|washing|washes
waste,wasted|wasted|wasting|wastes
watch,watched|watched|watching|watches
watch out,watched|watched|watching|watches
wave,waved|waved|waving|waves
wear,wore|worn|wearing|wears
weep,wept|wept|weeping|weeps
weigh,weighed|weighed|weighing|weighs
welcome,welcomed|welcomed|welcoming|welcomes
whip,whipped|whipped|whipping|whips
whisper,whispered|whispered|whispering|whispers
win,won|won|winning|wins
winnow,winnowed|winnowed|winnowing|winnows
wish,wished|wished|wishing|wishes
wither,withered|withered|withering|withers
witness,witnessed|witnessed|witnessing|witnesses
wonder,wondered|wondered|wondering|wonders
work,worked|worked|working|works
work out,worked|worked|working|works
worry,worried|worried|worrying|worries
worship,worshiped|worshiped|worshiping|worships
wound,wounded|wounded|wounding|wounds
wrap,wrapped|wrapped|wrapping|wraps
wrestle,wrestled|wrestled|wrestling|wrestles
write,wrote|written|writing|writes
write down,wrote|written|writing|writes
